loss,mae
0.100273557,0.243695587
0.105882727,0.254583031
0.078564949,0.221238092
0.100011542,0.251653671
0.094701916,0.238989487
0.104026325,0.255461663
0.107196681,0.257897526
0.134806737,0.27682963
0.344007879,0.397931129
0.230713531,0.329697847
0.199563473,0.334475577
0.213450834,0.356675208
0.138735145,0.284868628
0.119237736,0.271971136
0.155697271,0.306029975
0.168862864,0.306556463
0.188727051,0.318849921
0.120544739,0.270086974
0.136890829,0.283789426
0.11359372,0.25834772
0.125939175,0.267354429
0.151416853,0.289038301
0.137576103,0.288952112
0.130215704,0.28293106
0.10550303,0.248773873
0.08476276,0.225898013
0.094366759,0.237323225
0.078519903,0.21734269
0.073519625,0.211813837
0.076310262,0.216317132
0.078721523,0.218460023
0.118489802,0.252941549
0.097712271,0.240202188
0.07494913,0.212068021
0.072634324,0.208556831
0.065632552,0.199582845
0.065881982,0.198427141
0.064720608,0.197475284
0.059730217,0.188243821
0.060613021,0.189478844
0.067202523,0.199254468
0.076689705,0.217479035
0.084974349,0.221834272
0.072205305,0.206927404
0.10018792,0.23831293
0.09495914,0.23765862
0.085765824,0.227750391
0.082417622,0.220019847
0.091461621,0.231792122
0.072944313,0.210407391
0.070028611,0.207530394
0.09542276,0.240957335
0.101455614,0.243451446
0.128080994,0.267055362
0.116861068,0.258304745
0.146363467,0.293771684
0.143482238,0.284700543
0.171655446,0.302890658
0.144641593,0.287239611
0.133302942,0.27203697
0.129068673,0.271909028
0.132025629,0.271545619
